"","county","state","estimate","variable_description","county_state"
"1","Autauga","Alabama",55200,"Total Population","Autauga, Alabama"
"2","Autauga","Alabama",4204,"Less than High School Graduates","Autauga, Alabama"
"3","Autauga","Alabama",12119,"High School Graduates","Autauga, Alabama"
"4","Autauga","Alabama",5903,"Bachelor Degree","Autauga, Alabama"
"5","Baldwin","Alabama",208107,"Total Population","Baldwin, Alabama"
"6","Baldwin","Alabama",14310,"Less than High School Graduates","Baldwin, Alabama"
"7","Baldwin","Alabama",40579,"High School Graduates","Baldwin, Alabama"
"8","Baldwin","Alabama",30431,"Bachelor Degree","Baldwin, Alabama"
"9","Barbour","Alabama",25782,"Total Population","Barbour, Alabama"
"10","Barbour","Alabama",4901,"Less than High School Graduates","Barbour, Alabama"
"11","Barbour","Alabama",6486,"High School Graduates","Barbour, Alabama"
"12","Barbour","Alabama",1417,"Bachelor Degree","Barbour, Alabama"
"13","Bibb","Alabama",22527,"Total Population","Bibb, Alabama"
"14","Bibb","Alabama",2650,"Less than High School Graduates","Bibb, Alabama"
"15","Bibb","Alabama",7471,"High School Graduates","Bibb, Alabama"
"16","Bibb","Alabama",1197,"Bachelor Degree","Bibb, Alabama"
"17","Blount","Alabama",57645,"Total Population","Blount, Alabama"
"18","Blount","Alabama",7861,"Less than High School Graduates","Blount, Alabama"
"19","Blount","Alabama",13489,"High School Graduates","Blount, Alabama"
"20","Blount","Alabama",3217,"Bachelor Degree","Blount, Alabama"
"21","Bullock","Alabama",10352,"Total Population","Bullock, Alabama"
"22","Bullock","Alabama",1760,"Less than High School Graduates","Bullock, Alabama"
"23","Bullock","Alabama",2817,"High School Graduates","Bullock, Alabama"
"24","Bullock","Alabama",526,"Bachelor Degree","Bullock, Alabama"
"25","Butler","Alabama",20025,"Total Population","Butler, Alabama"
"26","Butler","Alabama",2141,"Less than High School Graduates","Butler, Alabama"
"27","Butler","Alabama",6091,"High School Graduates","Butler, Alabama"
"28","Butler","Alabama",1344,"Bachelor Degree","Butler, Alabama"
"29","Calhoun","Alabama",115098,"Total Population","Calhoun, Alabama"
"30","Calhoun","Alabama",12620,"Less than High School Graduates","Calhoun, Alabama"
"31","Calhoun","Alabama",25653,"High School Graduates","Calhoun, Alabama"
"32","Calhoun","Alabama",8060,"Bachelor Degree","Calhoun, Alabama"
"33","Chambers","Alabama",33826,"Total Population","Chambers, Alabama"
"34","Chambers","Alabama",4383,"Less than High School Graduates","Chambers, Alabama"
"35","Chambers","Alabama",9060,"High School Graduates","Chambers, Alabama"
"36","Chambers","Alabama",2200,"Bachelor Degree","Chambers, Alabama"
"37","Cherokee","Alabama",25853,"Total Population","Cherokee, Alabama"
"38","Cherokee","Alabama",3692,"Less than High School Graduates","Cherokee, Alabama"
"39","Cherokee","Alabama",7157,"High School Graduates","Cherokee, Alabama"
"40","Cherokee","Alabama",1273,"Bachelor Degree","Cherokee, Alabama"
"41","Chilton","Alabama",43930,"Total Population","Chilton, Alabama"
"42","Chilton","Alabama",5302,"Less than High School Graduates","Chilton, Alabama"
"43","Chilton","Alabama",13125,"High School Graduates","Chilton, Alabama"
"44","Chilton","Alabama",2728,"Bachelor Degree","Chilton, Alabama"
"45","Choctaw","Alabama",13075,"Total Population","Choctaw, Alabama"
"46","Choctaw","Alabama",1754,"Less than High School Graduates","Choctaw, Alabama"
"47","Choctaw","Alabama",3606,"High School Graduates","Choctaw, Alabama"
"48","Choctaw","Alabama",770,"Bachelor Degree","Choctaw, Alabama"
"49","Clarke","Alabama",24387,"Total Population","Clarke, Alabama"
"50","Clarke","Alabama",3175,"Less than High School Graduates","Clarke, Alabama"
"51","Clarke","Alabama",7372,"High School Graduates","Clarke, Alabama"
"52","Clarke","Alabama",1342,"Bachelor Degree","Clarke, Alabama"
"53","Clay","Alabama",13378,"Total Population","Clay, Alabama"
"54","Clay","Alabama",2275,"Less than High School Graduates","Clay, Alabama"
"55","Clay","Alabama",3366,"High School Graduates","Clay, Alabama"
"56","Clay","Alabama",510,"Bachelor Degree","Clay, Alabama"
"57","Cleburne","Alabama",14938,"Total Population","Cleburne, Alabama"
"58","Cleburne","Alabama",2364,"Less than High School Graduates","Cleburne, Alabama"
"59","Cleburne","Alabama",4135,"High School Graduates","Cleburne, Alabama"
"60","Cleburne","Alabama",927,"Bachelor Degree","Cleburne, Alabama"
"61","Coffee","Alabama",51288,"Total Population","Coffee, Alabama"
"62","Coffee","Alabama",4833,"Less than High School Graduates","Coffee, Alabama"
"63","Coffee","Alabama",9723,"High School Graduates","Coffee, Alabama"
"64","Coffee","Alabama",5439,"Bachelor Degree","Coffee, Alabama"
"65","Colbert","Alabama",54495,"Total Population","Colbert, Alabama"
"66","Colbert","Alabama",6016,"Less than High School Graduates","Colbert, Alabama"
"67","Colbert","Alabama",13927,"High School Graduates","Colbert, Alabama"
