"","county","state","estimate","variable_description","county_state"
"1","Autauga","Alabama",55200,"Total Population","Autauga, Alabama"
"2","Autauga","Alabama",1114,"Total Foreign Born","Autauga, Alabama"
"3","Baldwin","Alabama",208107,"Total Population","Baldwin, Alabama"
"4","Baldwin","Alabama",7170,"Total Foreign Born","Baldwin, Alabama"
"5","Barbour","Alabama",25782,"Total Population","Barbour, Alabama"
"6","Barbour","Alabama",646,"Total Foreign Born","Barbour, Alabama"
"7","Bibb","Alabama",22527,"Total Population","Bibb, Alabama"
"8","Bibb","Alabama",325,"Total Foreign Born","Bibb, Alabama"
"9","Blount","Alabama",57645,"Total Population","Blount, Alabama"
"10","Blount","Alabama",2513,"Total Foreign Born","Blount, Alabama"
"11","Bullock","Alabama",10352,"Total Population","Bullock, Alabama"
"12","Bullock","Alabama",96,"Total Foreign Born","Bullock, Alabama"
"13","Butler","Alabama",20025,"Total Population","Butler, Alabama"
"14","Butler","Alabama",275,"Total Foreign Born","Butler, Alabama"
"15","Calhoun","Alabama",115098,"Total Population","Calhoun, Alabama"
"16","Calhoun","Alabama",3059,"Total Foreign Born","Calhoun, Alabama"
"17","Chambers","Alabama",33826,"Total Population","Chambers, Alabama"
"18","Chambers","Alabama",470,"Total Foreign Born","Chambers, Alabama"
"19","Cherokee","Alabama",25853,"Total Population","Cherokee, Alabama"
"20","Cherokee","Alabama",205,"Total Foreign Born","Cherokee, Alabama"
"21","Chilton","Alabama",43930,"Total Population","Chilton, Alabama"
"22","Chilton","Alabama",1970,"Total Foreign Born","Chilton, Alabama"
"23","Choctaw","Alabama",13075,"Total Population","Choctaw, Alabama"
"24","Choctaw","Alabama",65,"Total Foreign Born","Choctaw, Alabama"
"25","Clarke","Alabama",24387,"Total Population","Clarke, Alabama"
"26","Clarke","Alabama",93,"Total Foreign Born","Clarke, Alabama"
"27","Clay","Alabama",13378,"Total Population","Clay, Alabama"
"28","Clay","Alabama",261,"Total Foreign Born","Clay, Alabama"
"29","Cleburne","Alabama",14938,"Total Population","Cleburne, Alabama"
"30","Cleburne","Alabama",225,"Total Foreign Born","Cleburne, Alabama"
"31","Coffee","Alabama",51288,"Total Population","Coffee, Alabama"
"32","Coffee","Alabama",1840,"Total Foreign Born","Coffee, Alabama"
"33","Colbert","Alabama",54495,"Total Population","Colbert, Alabama"
"34","Colbert","Alabama",905,"Total Foreign Born","Colbert, Alabama"
"35","Conecuh","Alabama",12514,"Total Population","Conecuh, Alabama"
"36","Conecuh","Alabama",89,"Total Foreign Born","Conecuh, Alabama"
"37","Coosa","Alabama",10855,"Total Population","Coosa, Alabama"
"38","Coosa","Alabama",51,"Total Foreign Born","Coosa, Alabama"
"39","Covington","Alabama",37351,"Total Population","Covington, Alabama"
"40","Covington","Alabama",278,"Total Foreign Born","Covington, Alabama"
"41","Crenshaw","Alabama",13865,"Total Population","Crenshaw, Alabama"
"42","Crenshaw","Alabama",270,"Total Foreign Born","Crenshaw, Alabama"
"43","Cullman","Alabama",82313,"Total Population","Cullman, Alabama"
"44","Cullman","Alabama",1985,"Total Foreign Born","Cullman, Alabama"
"45","Dale","Alabama",49255,"Total Population","Dale, Alabama"
"46","Dale","Alabama",1637,"Total Foreign Born","Dale, Alabama"
"47","Dallas","Alabama",40029,"Total Population","Dallas, Alabama"
"48","Dallas","Alabama",528,"Total Foreign Born","Dallas, Alabama"
"49","DeKalb","Alabama",71200,"Total Population","DeKalb, Alabama"
"50","DeKalb","Alabama",5325,"Total Foreign Born","DeKalb, Alabama"
"51","Elmore","Alabama",81212,"Total Population","Elmore, Alabama"
"52","Elmore","Alabama",1446,"Total Foreign Born","Elmore, Alabama"
"53","Escambia","Alabama",37328,"Total Population","Escambia, Alabama"
"54","Escambia","Alabama",365,"Total Foreign Born","Escambia, Alabama"
"55","Etowah","Alabama",102939,"Total Population","Etowah, Alabama"
"56","Etowah","Alabama",2977,"Total Foreign Born","Etowah, Alabama"
"57","Fayette","Alabama",16585,"Total Population","Fayette, Alabama"
"58","Fayette","Alabama",152,"Total Foreign Born","Fayette, Alabama"
"59","Franklin","Alabama",31542,"Total Population","Franklin, Alabama"
"60","Franklin","Alabama",2919,"Total Foreign Born","Franklin, Alabama"
"61","Geneva","Alabama",26491,"Total Population","Geneva, Alabama"
"62","Geneva","Alabama",406,"Total Foreign Born","Geneva, Alabama"
"63","Greene","Alabama",8426,"Total Population","Greene, Alabama"
"64","Greene","Alabama",8,"Total Foreign Born","Greene, Alabama"
"65","Hale","Alabama",14887,"Total Population","Hale, Alabama"
"66","Hale","Alabama",86,"Total Foreign Born","Hale, Alabama"
"67","Henry","Alabama",17124,"Total Population","Henry, Alabama"
"68","Henry","Alabama",185,"Total Foreign Born","Henry, Alabama"
"69","Houston","Alabama",104352,"Total Population","Houston, Alabama"
"70","Houston","Alabama",2367,"Total Foreign Born","Houston, Alabama"
"71","Jackson","Alabama",52094,"Total Population","Jackson, Alabama"
"72","Jackson","Alabama",899,"Total Foreign Born","Jackson, Alabama"
"73","Jefferson","Alabama",659892,"Total Population","Jefferson, Alabama"
"74","Jefferson","Alabama",26610,"Total Foreign Born","Jefferson, Alabama"
"75","Lamar","Alabama",13933,"Total Population","Lamar, Alabama"
"76","Lamar","Alabama",86,"Total Foreign Born","Lamar, Alabama"
"77","Lauderdale","Alabama",92585,"Total Population","Lauderdale, Alabama"
"78","Lauderdale","Alabama",1905,"Total Foreign Born","Lauderdale, Alabama"
"79","Lawrence","Alabama",33171,"Total Population","Lawrence, Alabama"
"80","Lawrence","Alabama",324,"Total Foreign Born","Lawrence, Alabama"
"81","Lee","Alabama",159287,"Total Population","Lee, Alabama"
"82","Lee","Alabama",8685,"Total Foreign Born","Lee, Alabama"
"83","Limestone","Alabama",93052,"Total Population","Limestone, Alabama"
"84","Limestone","Alabama",3439,"Total Foreign Born","Limestone, Alabama"
"85","Lowndes","Alabama",10236,"Total Population","Lowndes, Alabama"
"86","Lowndes","Alabama",32,"Total Foreign Born","Lowndes, Alabama"
"87","Macon","Alabama",19054,"Total Population","Macon, Alabama"
"88","Macon","Alabama",201,"Total Foreign Born","Macon, Alabama"
"89","Madison","Alabama",357560,"Total Population","Madison, Alabama"
