"","GEOID","county","state","variable","estimate","moe","variable_description","county_state"
"1","01001","Autauga","Alabama","B19301_001",29372,2306,"Income Per Capita","Autauga, Alabama"
"2","01003","Baldwin","Alabama","B19301_001",31203,716,"Income Per Capita","Baldwin, Alabama"
"3","01005","Barbour","Alabama","B19301_001",18461,819,"Income Per Capita","Barbour, Alabama"
"4","01007","Bibb","Alabama","B19301_001",20199,1182,"Income Per Capita","Bibb, Alabama"
"5","01009","Blount","Alabama","B19301_001",22656,905,"Income Per Capita","Blount, Alabama"
"6","01011","Bullock","Alabama","B19301_001",20346,2683,"Income Per Capita","Bullock, Alabama"
"7","01013","Butler","Alabama","B19301_001",20430,1258,"Income Per Capita","Butler, Alabama"
"8","01015","Calhoun","Alabama","B19301_001",24706,758,"Income Per Capita","Calhoun, Alabama"
"9","01017","Chambers","Alabama","B19301_001",22827,1482,"Income Per Capita","Chambers, Alabama"
"10","01019","Cherokee","Alabama","B19301_001",23356,1325,"Income Per Capita","Cherokee, Alabama"
"11","01021","Chilton","Alabama","B19301_001",24611,1808,"Income Per Capita","Chilton, Alabama"
"12","01023","Choctaw","Alabama","B19301_001",22182,1273,"Income Per Capita","Choctaw, Alabama"
"13","01025","Clarke","Alabama","B19301_001",21111,1200,"Income Per Capita","Clarke, Alabama"
"14","01027","Clay","Alabama","B19301_001",23147,1746,"Income Per Capita","Clay, Alabama"
"15","01029","Cleburne","Alabama","B19301_001",21989,1661,"Income Per Capita","Cleburne, Alabama"
"16","01031","Coffee","Alabama","B19301_001",27577,976,"Income Per Capita","Coffee, Alabama"
"17","01033","Colbert","Alabama","B19301_001",24918,1055,"Income Per Capita","Colbert, Alabama"
"18","01035","Conecuh","Alabama","B19301_001",17542,1355,"Income Per Capita","Conecuh, Alabama"
"19","01037","Coosa","Alabama","B19301_001",22963,2342,"Income Per Capita","Coosa, Alabama"
"20","01039","Covington","Alabama","B19301_001",23071,854,"Income Per Capita","Covington, Alabama"
"21","01041","Crenshaw","Alabama","B19301_001",23353,2819,"Income Per Capita","Crenshaw, Alabama"
"22","01043","Cullman","Alabama","B19301_001",22980,906,"Income Per Capita","Cullman, Alabama"
"23","01045","Dale","Alabama","B19301_001",23837,925,"Income Per Capita","Dale, Alabama"
"24","01047","Dallas","Alabama","B19301_001",18910,714,"Income Per Capita","Dallas, Alabama"
"25","01049","DeKalb","Alabama","B19301_001",21004,799,"Income Per Capita","DeKalb, Alabama"
"26","01051","Elmore","Alabama","B19301_001",27475,1129,"Income Per Capita","Elmore, Alabama"
"27","01053","Escambia","Alabama","B19301_001",18161,967,"Income Per Capita","Escambia, Alabama"
"28","01055","Etowah","Alabama","B19301_001",24065,763,"Income Per Capita","Etowah, Alabama"
"29","01057","Fayette","Alabama","B19301_001",21862,1708,"Income Per Capita","Fayette, Alabama"
"30","01059","Franklin","Alabama","B19301_001",19776,1018,"Income Per Capita","Franklin, Alabama"
"31","01061","Geneva","Alabama","B19301_001",20471,1037,"Income Per Capita","Geneva, Alabama"
"32","01063","Greene","Alabama","B19301_001",14209,1463,"Income Per Capita","Greene, Alabama"
"33","01065","Hale","Alabama","B19301_001",20272,1350,"Income Per Capita","Hale, Alabama"
"34","01067","Henry","Alabama","B19301_001",24069,1295,"Income Per Capita","Henry, Alabama"
